UEFA ,  Europe/Andorra                	, +1    
AFC ,  Asia/Dubai                      , +4    
AFC ,  Asia/Kabul                      , +4.5
CONCACAF ,  America/Antigua                 , -4    
CONCACAF ,  America/Anguilla                , -4    
UEFA ,  Europe/Tirane                   , +1 
UEFA ,  Asia/Yerevan                    , +4 
CONCACAF ,  America/Curacao                 , -4 
CAF ,  Africa/Luanda                   , +1 
CONMEBOL ,  America/Argentina/Buenos_Aires  , -3 
CONMEBOL ,  America/Argentina/Cordoba       , -3 
CONMEBOL ,  America/Argentina/Salta         , -3 
CONMEBOL ,  America/Argentina/Jujuy         , -3 
CONMEBOL ,  America/Argentina/Tucuman       , -3 
CONMEBOL ,  America/Argentina/Catamarca     , -3 
CONMEBOL ,  America/Argentina/La_Rioja      , -3 
CONMEBOL ,  America/Argentina/San_Juan      , -3 
CONMEBOL ,  America/Argentina/Mendoza       , -3 
CONMEBOL ,  America/Argentina/San_Luis      , -4 
CONMEBOL ,  America/Argentina/Rio_Gallegos  , -3 
CONMEBOL ,  America/Argentina/Ushuaia       , -3 
OFC ,  Pacific/Pago_Pago               , -11 
UEFA ,  Europe/Vienna                   , +1 
AFC ,  Australia/Lord_Howe             , +10.5
AFC ,  Australia/Hobart                , +10    
AFC ,  Australia/Currie                , +10    
AFC ,  Australia/Melbourne             , +10    
AFC ,  Australia/Sydney                , +10    
AFC ,  Australia/Broken_Hill           , +9.5
AFC ,  Australia/Brisbane              , +10    
AFC ,  Australia/Lindeman              , +10    
AFC ,  Australia/Adelaide              , +9.5
AFC ,  Australia/Darwin                , +9.5
AFC ,  Australia/Perth                 , +8    
AFC ,  Australia/Eucla                 , +8.75
CONCACAF ,  America/Aruba                   , -4    
UEFA ,  Europe/Mariehamn                , +2    
UEFA ,  Asia/Baku                       , +4    
UEFA ,  Europe/Sarajevo                 , +1    
CONCACAF ,  America/Barbados                , -4    
AFC ,  Asia/Dhaka                      , +6    
UEFA ,  Europe/Brussels                 , +1    
CAF ,  Africa/Ouagadougou              , +0    
UEFA ,  Europe/Sofia                    , +2    
AFC ,  Asia/Bahrain                    , +3    
CAF ,  Africa/Bujumbura                , +2    
CAF ,  Africa/Porto-Novo               , +1    
CONCACAF ,  America/St_Barthelemy           , -4    
CONCACAF ,  Atlantic/Bermuda                , -4    
AFC ,  Asia/Brunei                     , +8    
CONMEBOL ,  America/La_Paz                  , -4    
CONMEBOL ,  America/Noronha                 , -2    
CONMEBOL ,  America/Belem                   , -3    
CONMEBOL ,  America/Fortaleza               , -3    
CONMEBOL ,  America/Recife                  , -3    
CONMEBOL ,  America/Araguaina               , -3    
CONMEBOL ,  America/Maceio                  , -3    
CONMEBOL ,  America/Bahia                   , -3    
CONMEBOL ,  America/Sao_Paulo               , -3    
CONMEBOL ,  America/Campo_Grande            , -4    
CONMEBOL ,  America/Cuiaba                  , -4    
CONMEBOL ,  America/Santarem                , -3    
CONMEBOL ,  America/Porto_Velho             , -4    
CONMEBOL ,  America/Boa_Vista               , -4    
CONMEBOL ,  America/Manaus                  , -4    
CONMEBOL ,  America/Eirunepe                , -4    
CONMEBOL ,  America/Rio_Branco              , -4    
CONCACAF ,  America/Nassau                  , -5    
AFC ,  Asia/Thimphu                    , +6    
CAF ,  Africa/Gaborone                 , +2    
UEFA ,  Europe/Minsk                    , +2    
CONCACAF ,  America/Belize                  , -6    
CONCACAF ,  America/St_Johns                , -3.5
CONCACAF ,  America/Halifax                 , -4    
CONCACAF ,  America/Glace_Bay               , -4    
CONCACAF ,  America/Moncton                 , -4    
CONCACAF ,  America/Goose_Bay               , -4    
CONCACAF ,  America/Blanc-Sablon            , -4    
CONCACAF ,  America/Montreal                , -5    
CONCACAF ,  America/Toronto                 , -5    
CONCACAF ,  America/Nipigon                 , -5    
CONCACAF ,  America/Thunder_Bay             , -5    
CONCACAF ,  America/Iqaluit                 , -5    
CONCACAF ,  America/Pangnirtung             , -5    
CONCACAF ,  America/Resolute                , -5    
CONCACAF ,  America/Atikokan                , -5    
CONCACAF ,  America/Rankin_Inlet            , -6    
CONCACAF ,  America/Winnipeg                , -6    
CONCACAF ,  America/Rainy_River             , -6    
CONCACAF ,  America/Regina                  , -6    
CONCACAF ,  America/Swift_Current           , -6    
CONCACAF ,  America/Edmonton                , -7    
CONCACAF ,  America/Cambridge_Bay           , -7    
CONCACAF ,  America/Yellowknife             , -7    
CONCACAF ,  America/Inuvik                  , -7    
CONCACAF ,  America/Dawson_Creek            , -7    
CONCACAF ,  America/Vancouver               , -8    
CONCACAF ,  America/Whitehorse              , -8    
CONCACAF ,  America/Dawson                  , -8    
AFC ,  Indian/Cocos                    , +6.5
CAF ,  Africa/Kinshasa                 , +1    
CAF ,  Africa/Lubumbashi               , +2    
CAF ,  Africa/Bangui                   , +1    
CAF ,  Africa/Brazzaville              , +1    
UEFA ,  Europe/Zurich                   , +1    
CAF ,  Africa/Abidjan                  , +0    
OFC ,  Pacific/Rarotonga               , -10    
CONMEBOL ,  America/Santiago                , -4    
CONMEBOL ,  Pacific/Easter                  , -6    
CAF ,  Africa/Douala                   , +1    
AFC ,  Asia/Shanghai                   , +8    
AFC ,  Asia/Harbin                     , +8    
AFC ,  Asia/Chongqing                  , +8    
AFC ,  Asia/Urumqi                     , +8    
AFC ,  Asia/Kashgar                    , +8    
CONMEBOL ,  America/Bogota                  , -5    
CONCACAF ,  America/Costa_Rica              , -6    
CONCACAF ,  America/Havana                  , -5    
CAF ,  Atlantic/Cape_Verde             , -1    
AFC ,  Indian/Christmas                , +7    
UEFA ,  Asia/Nicosia                    , +2    
UEFA ,  Europe/Prague                   , +1    
UEFA ,  Europe/Berlin                   , +1    
CAF ,  Africa/Djibouti                 , +3    
UEFA ,  Europe/Copenhagen               , +1    
CONCACAF ,  America/Dominica                , -4    
CONCACAF ,  America/Santo_Domingo           , -4    
CAF ,  Africa/Algiers                  , +1    
CONMEBOL ,  America/Guayaquil               , -5    
CONMEBOL ,  Pacific/Galapagos               , -6    
UEFA ,  Europe/Tallinn                  , +2    
CAF ,  Africa/Cairo                    , +2    
CAF ,  Africa/El_Aaiun                 , +0    
CAF ,  Africa/Asmara                   , +3    
UEFA ,  Europe/Madrid                   , +1    
CAF ,  Africa/Ceuta                    , +1    
UEFA ,  Atlantic/Canary                 , +0    
CAF ,  Africa/Addis_Ababa              , +3    
UEFA ,  Europe/Helsinki                 , +2    
OFC ,  Pacific/Fiji                    , +12    
OFC ,  Pacific/Truk                    , +10    
OFC ,  Pacific/Ponape                  , +11    
OFC ,  Pacific/Kosrae                  , +11    
UEFA ,  Atlantic/Faroe                  , +0    
UEFA ,  Europe/Paris                    , +1    
CAF ,  Africa/Libreville               , +1    
UEFA ,  Europe/London                   , +0    
CONCACAF ,  America/Grenada                 , -4    
UEFA ,  Asia/Tbilisi                    , +4    
